Greenhouse,9.803776,126.160667
Greenhouse Staff House,9.803946,126.160568
Greenhouse Main Entrance,9.804144,126.160622
Greenhouse Common Space,9.804075,126.160988
Greenhouse Yoga Studio,9.804191,126.161400
Greenhouse House 3,9.803869,126.161217
Greenhouse House 2,9.803777,126.161201
Greenhouse House 1,9.803622,126.161224
Siargao Inn,9.799542,126.160164
La Luna,9.796994,126.160255
Matanjak,9.796804,126.160278
Buddha Cafe,9.796521,126.160347
Turtle Surf Camp,9.796062,126.160400
La Isla Bar,9.795967,126.160454
Tiki Bungalows,9.795774,126.160461
Cabuntog,9.794775,126.160683
Malijon Resort,9.794193,126.160629
Kokai Resort,9.792269,126.161476
Hammock Hotel,9.791906,126.161484
Papa Wave Store,9.791809,126.161491
Bravo Beach Resort,9.791504,126.161621
Kawili Beach Resort,9.790860,126.161804
On the Road,9.789865,126.161819
Isla Cabana,9.789467,126.161957
Romantic Beach Villas,9.788651,126.162254
Liku–on Souvenir Shop,9.787653,126.162384
Baile Restobar,9.786704,126.161934
Curry Pot,9.786092,126.161652
Nine Bar,9.785648,126.161179
Cherinicole Resort,9.785188,126.160355
Sabali Art House,9.785162,126.160065
Chill Out Beach Bar,9.785141,126.160156
Patricks on the Beach,9.785086,126.160072
Ronaldos BBQ,9.785036,126.159752
Maridyls,9.784349,126.156311
Petron Gas Station,9.786960,126.155273
Jabines Marketing,9.784961,126.155144
Aventinos Pizza GL Branch,9.783465,126.156761
General Luna Church,9.783407,126.156837
General Luna Elementary School,9.783014,126.156807
Palaka Dive Center,9.780985,126.156189
Market,9.781074,126.156517
Rural Health Unit,9.781444,126.156998
Lalays BBQ,9.781808,126.157654
GL Police Station,9.782466,126.158218
GL Basketball Court,9.783992,126.157333
Jolan Store,9.784352,126.158058
Marks Resort,9.792690,126.161453
Arka Resort,9.802116,126.159897
Reef Beach Houses,9.802394,126.160049
SaggingSagging Village,9.804906,126.160858
Island Dreams Palm Paradise,9.806159,126.162041
Kalinaw Resort,9.806919,126.162781
Siargao Bleu Resort,9.807160,126.165512
Aventinos Pizza Tuason Branch,9.807257,126.166039
Villa Solaria Resort,9.807223,126.166267
Captains BBQ,9.810574,126.165245
Emerald House,9.810723,126.164909
Cloud 9 Surf Spot,9.811864,126.163269
Sagana Resort,9.812298,126.162766
Point 303 Resort,9.812197,126.162827
Hippies Surf Shop,9.811892,126.163193
Very Good Nice Surf School,9.811766,126.163353
Boardwalk Resort,9.812425,126.163864
Cloud 9 Viewing Tower,9.813706,126.165215
Café Loka,9.813279,126.163315
Kawayan Restobar,9.811295,126.163864
Greenhouse House 4,9.803894,126.160942
Dapa,9.758315,126.051598 